* Barcode = NA
* Block Type = 384-Well Block
* Calibration ABY is expired  = No
* Calibration ABY performed on  = 07-11-2018 11:17:53 MST
* Calibration Background is expired  = No
* Calibration Background performed on  = 07-11-2018 09:36:34 MST
* Calibration CY5 is expired  = No
* Calibration CY5 performed on  = 07-11-2018 11:28:15 MST
* Calibration FAM is expired  = No
* Calibration FAM performed on  = 07-11-2018 10:40:32 MST
* Calibration JUN is expired  = No
* Calibration JUN performed on  = 07-11-2018 11:36:47 MST
* Calibration MUSTANGPUR is expired  = No
* Calibration MUSTANGPUR performed on  = 07-11-2018 11:02:57 MST
* Calibration NED is expired  = No
* Calibration NED performed on  = 07-11-2018 10:31:36 MST
* Calibration ROI is expired  = No
* Calibration ROI performed on  = 07-11-2018 09:24:21 MST
* Calibration ROX is expired  = No
* Calibration ROX performed on  = 07-11-2018 10:50:07 MST
* Calibration SYBR is expired  = No
* Calibration SYBR performed on  = 07-11-2018 10:20:52 MST
* Calibration TAMRA is expired  = No
* Calibration TAMRA performed on  = 07-11-2018 10:01:27 MST
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on  = 07-11-2018 09:50:57 MST
* Calibration VIC is expired  = No
* Calibration VIC performed on  = 07-11-2018 10:11:01 MST
* Chemistry = SYBR_GREEN
* Comment = NA
* Date Created = 10-10-2018 10:01:10 MST
* Experiment File Name = C:\Applied Biosystems\QuantStudio 12K Flex Software\User Files\experiments\MH\MH 3-8.eds
* Experiment Name = MH 3-8
* Experiment Run End Time = 10-09-2018 19:42:07 MST
* Experiment Type = Standard Curve
* Instrument Name = 285881215
* Instrument Serial Number = 285881215
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Y-Intercept	R(superscript 2)	Slope	Amp Score	Cq Conf	Tm1	Tm2	Tm3	Dyes	Quantity	Target	Task	MTP	AMPNC	HIGHSD
1	A1	false	x_07:01_Cleaved_M280	Target 1	UNKNOWN	SYBR	None	20.210	20.671	0.438	UNKNOWN	0.006	0.002	true	0.335	true	3	14		13.038	0.999	-3.392	1.547	0.987	80.583	84.202		SYBR	UNKNOWN	Kapa	UNKNOWN	Y	N	N
2	A2	false	x_07:01_Cleaved_M280	Target 1	UNKNOWN	SYBR	None	20.721	20.671	0.438	UNKNOWN	0.006	0.002	true	0.335	true	3	14		13.038	0.999	-3.392	1.560	0.992	80.453	84.202		SYBR	UNKNOWN	Kapa	UNKNOWN	Y	N	N
3	A3	false	x_07:01_Uncleaved_M280	Target 1	UNKNOWN	SYBR	None	17.564	18.032	0.421	UNKNOWN	0.035	0.010	true	0.335	true	3	12		13.038	0.999	-3.392	1.561	0.993	80.583			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
4	A4	false	x_07:01_Uncleaved_M280	Target 1	UNKNOWN	SYBR	None	18.153	18.032	0.421	UNKNOWN	0.035	0.010	true	0.335	true	3	12		13.038	0.999	-3.392	1.553	0.991	80.453			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
5	A5	false	x_07:01_Cleaved_T1	Target 1	UNKNOWN	SYBR	None	12.382	12.742	0.323	UNKNOWN	1.243	0.282	true	0.335	true	3	7		13.038	0.999	-3.392	1.569	0.991	80.453			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
6	A6	false	x_07:01_Cleaved_T1	Target 1	UNKNOWN	SYBR	None	13.005	12.742	0.323	UNKNOWN	1.243	0.282	true	0.335	true	3	7		13.038	0.999	-3.392	1.542	0.987	80.324			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
7	A7	false	x_07:01_Uncleaved_T1	Target 1	UNKNOWN	SYBR	None	12.754	12.463	0.348	UNKNOWN	1.507	0.369	true	0.335	true	3	7		13.038	0.999	-3.392	1.577	0.993	80.841			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
8	A8	false	x_07:01_Uncleaved_T1	Target 1	UNKNOWN	SYBR	None	12.077	12.463	0.348	UNKNOWN	1.507	0.369	true	0.335	true	3	7		13.038	0.999	-3.392	1.556	0.985	80.841			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
9	A9	false	x_07:01_Cleaved_M270	Target 1	UNKNOWN	SYBR	None	15.045	14.970	0.157	UNKNOWN	0.270	0.030	true	0.335	true	3	9		13.038	0.999	-3.392	1.556	0.991	81.488			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
10	A10	false	x_07:01_Cleaved_M270	Target 1	UNKNOWN	SYBR	None	14.790	14.970	0.157	UNKNOWN	0.270	0.030	true	0.335	true	3	9		13.038	0.999	-3.392	1.577	0.994	81.488			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
11	A11	false	x_07:01_Uncleaved_M270	Target 1	UNKNOWN	SYBR	None	13.287	13.120	0.392	UNKNOWN	0.970	0.272	true	0.335	true	3	8		13.038	0.999	-3.392	1.570	0.991	81.100			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
12	A12	false	x_07:01_Uncleaved_M270	Target 1	UNKNOWN	SYBR	None	12.672	13.120	0.392	UNKNOWN	0.970	0.272	true	0.335	true	3	7		13.038	0.999	-3.392	1.577	0.992	81.100			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
13	A13	false	x_07:01_Cleaved_C1	Target 1	UNKNOWN	SYBR	None	13.808	13.826	0.070	UNKNOWN	0.586	0.028	true	0.335	true	3	8		13.038	0.999	-3.392	1.578	0.993	82.392			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
14	A14	false	x_07:01_Cleaved_C1	Target 1	UNKNOWN	SYBR	None	13.766	13.826	0.070	UNKNOWN	0.586	0.028	true	0.335	true	3	8		13.038	0.999	-3.392	1.579	0.992	82.263			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
15	A15	false	x_07:01_Uncleaved_C1	Target 1	UNKNOWN	SYBR	None	13.804	13.656	0.130	UNKNOWN	0.659	0.057	true	0.335	true	3	8		13.038	0.999	-3.392	1.582	0.991	81.100			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
16	A16	false	x_07:01_Uncleaved_C1	Target 1	UNKNOWN	SYBR	None	13.599	13.656	0.130	UNKNOWN	0.659	0.057	true	0.335	true	3	8		13.038	0.999	-3.392	1.571	0.992	81.100			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
17	A17	false	x_1-A(d)_Cleaved_Ab	Target 1	UNKNOWN	SYBR	None	19.138	18.991	0.229	UNKNOWN	0.018	0.003	true	0.335	true	3	13		13.038	0.999	-3.392	1.557	0.982	80.970	84.331		SYBR	UNKNOWN	Kapa	UNKNOWN	Y	N	N
18	A18	false	x_1-A(d)_Cleaved_Ab	Target 1	UNKNOWN	SYBR	None	18.728	18.991	0.229	UNKNOWN	0.018	0.003	true	0.335	true	3	13		13.038	0.999	-3.392	1.574	0.994	80.970			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
19	A19	false	x_1-A(d)_Unleaved_Ab	Target 1	UNKNOWN	SYBR	None	16.291	16.461	0.200	UNKNOWN	0.099	0.013	true	0.335	true	3	10		13.038	0.999	-3.392	1.571	0.991	82.134			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
20	A20	false	x_1-A(d)_Unleaved_Ab	Target 1	UNKNOWN	SYBR	None	16.410	16.461	0.200	UNKNOWN	0.099	0.013	true	0.335	true	3	10		13.038	0.999	-3.392	1.565	0.992	82.134			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
21	A21	false	x_1-E(d)_Cleaved_Ab	Target 1	UNKNOWN	SYBR	None	14.005	14.128	0.242	UNKNOWN	0.481	0.075	true	0.335	true	3	8		13.038	0.999	-3.392	1.560	0.991	80.841			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
22	A22	false	x_1-E(d)_Cleaved_Ab	Target 1	UNKNOWN	SYBR	None	13.973	14.128	0.242	UNKNOWN	0.481	0.075	true	0.335	true	3	8		13.038	0.999	-3.392	1.542	0.993	80.970			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
23	A23	false	x_1-E(d)_Uncleaved_Ab	Target 1	UNKNOWN	SYBR	None	18.897	18.833	0.248	UNKNOWN	0.020	0.003	true	0.335	true	3	13		13.038	0.999	-3.392	1.560	0.993	81.100			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
24	A24	false	x_1-E(d)_Uncleaved_Ab	Target 1	UNKNOWN	SYBR	None	19.044	18.833	0.248	UNKNOWN	0.020	0.003	true	0.335	true	3	13		13.038	0.999	-3.392	1.536	0.980	81.100			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
25	B1	false	x_07:01_Cleaved_M280	Target 1	UNKNOWN	SYBR	None	21.082	20.671	0.438	UNKNOWN	0.006	0.002	true	0.335	true	3	15		13.038	0.999	-3.392	1.550	0.990	80.453	84.202		SYBR	UNKNOWN	Kapa	UNKNOWN	Y	N	N
26	B2	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
27	B3	false	x_07:01_Uncleaved_M280	Target 1	UNKNOWN	SYBR	None	18.380	18.032	0.421	UNKNOWN	0.035	0.010	true	0.335	true	3	12		13.038	0.999	-3.392	1.558	0.989	80.453			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
28	B4	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
29	B5	false	x_07:01_Cleaved_T1	Target 1	UNKNOWN	SYBR	None	12.838	12.742	0.323	UNKNOWN	1.243	0.282	true	0.335	true	3	7		13.038	0.999	-3.392	1.576	0.993	80.453			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
30	B6	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
31	B7	false	x_07:01_Uncleaved_T1	Target 1	UNKNOWN	SYBR	None	12.557	12.463	0.348	UNKNOWN	1.507	0.369	true	0.335	true	3	7		13.038	0.999	-3.392	1.571	0.992	80.841			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
32	B8	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
33	B9	false	x_07:01_Cleaved_M270	Target 1	UNKNOWN	SYBR	None	15.075	14.970	0.157	UNKNOWN	0.270	0.030	true	0.335	true	3	9		13.038	0.999	-3.392	1.549	0.989	81.358			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
34	B10	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
35	B11	false	x_07:01_Uncleaved_M270	Target 1	UNKNOWN	SYBR	None	13.400	13.120	0.392	UNKNOWN	0.970	0.272	true	0.335	true	3	8		13.038	0.999	-3.392	1.566	0.990	80.970			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
36	B12	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
37	B13	false	x_07:01_Cleaved_C1	Target 1	UNKNOWN	SYBR	None	13.904	13.826	0.070	UNKNOWN	0.586	0.028	true	0.335	true	3	8		13.038	0.999	-3.392	1.548	0.970	82.263			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
38	B14	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
39	B15	false	x_07:01_Uncleaved_C1	Target 1	UNKNOWN	SYBR	None	13.564	13.656	0.130	UNKNOWN	0.659	0.057	true	0.335	true	3	8		13.038	0.999	-3.392	1.568	0.991	81.100			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
40	B16	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
41	B17	false	x_1-A(d)_Cleaved_Ab	Target 1	UNKNOWN	SYBR	None	19.108	18.991	0.229	UNKNOWN	0.018	0.003	true	0.335	true	3	13		13.038	0.999	-3.392	1.559	0.990	80.841	84.202		SYBR	UNKNOWN	Kapa	UNKNOWN	Y	N	N
42	B18	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
43	B19	false	x_1-A(d)_Unleaved_Ab	Target 1	UNKNOWN	SYBR	None	16.681	16.461	0.200	UNKNOWN	0.099	0.013	true	0.335	true	3	11		13.038	0.999	-3.392	1.575	0.993	82.134			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
44	B20	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
45	B21	false	x_1-E(d)_Cleaved_Ab	Target 1	UNKNOWN	SYBR	None	14.407	14.128	0.242	UNKNOWN	0.481	0.075	true	0.335	true	3	8		13.038	0.999	-3.392	1.568	0.992	80.841			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
46	B22	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
47	B23	false	x_1-E(d)_Uncleaved_Ab	Target 1	UNKNOWN	SYBR	None	18.559	18.833	0.248	UNKNOWN	0.020	0.003	true	0.335	true	3	12		13.038	0.999	-3.392	1.557	0.992	81.229			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
48	B24	false	empty		UNKNOWN																							SYBR		Kapa	UNKNOWN	N	N	N
49	C1	false	x_1-E(k)_Cleaved_Ab	Target 1	UNKNOWN	SYBR	None	13.810	14.149	0.295	UNKNOWN	0.477	0.100	true	0.335	true	3	8		13.038	0.999	-3.392	1.558	0.992	80.841			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
50	C2	false	x_1-E(k)_Cleaved_Ab	Target 1	UNKNOWN	SYBR	None	14.292	14.149	0.295	UNKNOWN	0.477	0.100	true	0.335	true	3	8		13.038	0.999	-3.392	1.547	0.992	80.841			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
51	C3	false	x_1-E(k)_Uncleaved_Ab	Target 1	UNKNOWN	SYBR	None	13.365	13.263	0.277	UNKNOWN	0.869	0.170	true	0.335	true	3	8		13.038	0.999	-3.392	1.555	0.990	80.453			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
52	C4	false	x_1-E(k)_Uncleaved_Ab	Target 1	UNKNOWN	SYBR	None	12.950	13.263	0.277	UNKNOWN	0.869	0.170	true	0.335	true	3	7		13.038	0.999	-3.392	1.550	0.994	80.453			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
53	C5	false	Raw M280	Target 1	UNKNOWN	SYBR	None	18.996	18.931	0.329	UNKNOWN	0.019	0.004	true	0.335	true	3	13		13.038	0.999	-3.392	1.554	0.993	80.453	84.331		SYBR	UNKNOWN	Kapa	UNKNOWN	Y	N	N
54	C6	false	Raw M280	Target 1	UNKNOWN	SYBR	None	18.575	18.931	0.329	UNKNOWN	0.019	0.004	true	0.335	true	3	12		13.038	0.999	-3.392	1.568	0.993	80.453			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
55	C7	false	Raw T1	Target 1	UNKNOWN	SYBR	None	12.950	13.168	0.460	UNKNOWN	0.944	0.266	true	0.335	true	3	7		13.038	0.999	-3.392	1.553	0.984	80.712			SYBR	UNKNOWN	Kapa	UNKNOWN	N	N	N
