Probe	BB001_A	BB001_B	BB003_A	BB003_B	BB004_A	BB004_B	BB005_A	BB005_B	BB006_A	BB006_B	BB007_A	BB007_B	BB008_A	BB008_B	BB009_A	BB009_B	BB010_A	BB010_B	BB012_A	BB012_B	BB013_A	BB013_B	BB015_A	BB015_B	BB017_A	BB017_B	BB018_A	BB018_B	BB019_A	BB019_B	BB020_A	BB020_B	BB401_A	BB401_B	BB402_A	BB402_B	BB403_A	BB403_B	BB404_A	BB404_B	BB405_A	BB405_B	BB406_A	BB406_B	BB407_A	BB407_B	BB408_A	BB408_B	BB409_A	BB409_B	BB410_A	BB410_B	BB411_A	BB411_B	BB412_A	BB412_B	BB413_A	BB413_B	BB414_A	BB414_B	BB415_A	BB415_B	BufferOnly_A	BufferOnly_B	BufferOnly_C	BufferOnly_D	BufferOnly_E	BufferOnly_F	BufferOnly_G	BufferOnly_H	BufferOnly_I	BufferOnly_J
NS30_000000	8828	628	15628	7371	5663	2463	5244	6377	19985	19310	4280	28807	4892	3807	3707	4806	3175	4651	4167	6257	2306	4530	3469	4102	5026	7623	431	1143	1687	3104	848	7464	11676	13121	11336	14003	50513	22219	11028	8414	4420	4365	18842	9709	4907	4157	3317	2349	7211	7128	32377	31587	19351	20443	39009	35606	8441	12452	34091	31926	12159	3283	73	23	49	17	109	75	54	44	195	498
NS30_000001	120	24	0	0	10	2	3	3	1	1	64	363	152	64	67	88	9	53	171	218	49	36	272	352	11	15	21	53	3	2	0	4	882	1034	1213	1166	319	180	27	28	136	179	94	189	1	8	30	34	117	87	244	223	27	43	484	496	197	203	96	81	12	4	2	0	4	1	2	3	1	3	11	25
NS30_000002	137	36	2029	886	861	340	2559	2861	2068	2195	2660	18902	6499	5995	4061	9715	1615	2540	2015	3122	2362	5654	2416	2723	2838	4737	379	1176	684	771	874	1880	3312	4566	2836	2861	1748	774	1864	1700	1860	1875	7936	7107	4171	3602	10652	12397	1877	2099	3790	3762	2142	2346	2802	3231	3557	6385	32792	28810	208	115	400	74	377	162	684	701	635	602	1071	1359
NS30_000003	3	0	0	0	5	2	3	2	5	2	80	330	0	0	9	7	0	8	1	27	0	0	14	20	10	6	0	0	4	7	0	10	410	374	13	24	36	16	2	13	5	7	11	19	19	15	41	31	33	33	20	27	33	15	2	7	11	3	20	18	502	248	2	0	0	0	4	6	5	6	10	17
NS30_000004	8	10	571	380	136	35	2028	2762	19	10	26	126	3019	2830	94	218	142	221	51	19	504	560	1158	1446	58	120	0	4	971	1294	94	120	219	565	2016	1601	10409	4604	196	198	413	408	1243	2307	507	487	117	78	100	131	3202	2889	137	122	9295	9839	5198	7616	71	81	82	45	64	14	74	37	126	100	111	103	130	239
NS30_000005	90	49	569	250	19	3	85	79	59	88	38	126	57	81	120	81	197	223	78	54	86	71	52	103	1125	1828	15	22	43	84	11	43	107	81	139	129	139	102	69	54	54	51	95	99	91	60	254	251	81	121	116	144	156	148	508	542	28	36	289	248	54	25	42	19	76	32	114	122	186	101	404	177
NS30_000006	270	123	3181	1872	252	48	246	265	111	84	302	799	367	384	987	1086	355	331	3090	4117	305	740	154	171	367	498	44	55	232	529	118	277	481	560	665	614	3013	1368	513	512	343	337	917	1102	380	328	364	297	537	565	1214	1182	636	563	305	366	127	126	293	300	94	48	305	74	321	166	469	462	483	713	793	896
NS30_000007	213	11	37	23	179	50	53	72	5	9	53	155	2585	2373	232	305	48	38	338	406	0	88	21	68	1832	2664	4	11	81	80	485	1218	807	1494	365	319	6994	3665	63	49	99	96	1185	1372	2442	2574	79	55	242	385	105	105	344	389	10217	11332	110	167	351	315	38	18	63	10	80	32	109	109	114	133	183	258
NS30_000008	1449	233	586	215	400	104	153	164	79	53	143	650	276	200	1609	2774	433	460	1480	2024	1171	1605	107	191	110	127	22	29	66	164	16	51	797	1550	572	535	363	229	990	945	131	141	228	277	88	60	208	167	1667	2155	784	740	3947	4361	74	74	57	43	167	152	98	28	120	60	159	76	217	216	207	325	430	529
NS30_000009	65	17	75	40	55	21	112	108	38	45	78	154	100	107	187	350	50	16	148	87	162	229	166	188	85	128	40	26	51	86	24	52	251	244	184	185	304	171	215	171	114	116	172	217	112	127	278	220	171	177	259	358	293	274	78	81	74	54	145	167	78	45	196	46	146	94	329	415	484	370	900	1015
