Peptide	ControlCount	SampleCount	ControlZ	SampleZ
PV2_000000	28.56	6.86	0.409808	-0.632439
PV2_000001	31.89	419.52	-1.56469	97.3547
PV2_000002	7.14	5.88	0.107715	-0.10505
PV2_000003	112.82	23.52	-1.05595	0.17046
PV2_000004	149.95	36.27	-2.83817	0.681034
PV2_000005	50.94	22.54	-1.3568	2.05096
PV2_000006	12.85	8.82	-1.369	0.286496
PV2_000007	59.5	209.76	0.973775	42.1042
PV2_000008	5.24	366.59	-0.296691	100.174
PV2_000009	108.54	42.15	-1.03127	3.75552
PV2_000010	49.51	206.82	-2.45364	38.7885
PV2_000011	19.52	12.74	-0.827706	0.541196
PV2_000012	138.53	18.62	1.58369	-0.828693
PV2_000013	255.16	46.07	-1.41689	1.45297
PV2_000014	20.95	8.82	-4.00125	-0.680965
PV2_000015	18.57	20.58	0.512329	3.05988
PV2_000016	42.84	21.56	-2.35915	1.86309
PV2_000017	23.8	25.48	-1.35305	3.86364
PV2_000018	58.08	20.58	1.25605	1.8563
PV2_000019	72.83	22.54	1.70687	1.84519
PV2_000020	39.99	28.43	-1.94542	3.59013
PV2_000021	27.61	6.86	-0.816476	-1.12958
PV2_000022	24.28	19.6	-2.60515	2.42199
PV2_000023	74.26	17.64	-1.07293	-0.321291
PV2_000024	132.81	81.36	-2.51122	8.69211
PV2_000025	17.14	16.66	-3.24119	1.62944
PV2_000026	33.32	13.72	0.257788	0.638506
PV2_000027	13.33	8.82	-0.0733393	0.193895
PV2_000028	12.38	2.94	0.628895	-0.93859
PV2_000029	105.2	30.39	-1.59993	1.61688
PV2_000030	21.42	15.68	-3.43102	1.27882
PV2_000031	61.88	18.62	0.103481	0.751469
PV2_000032	13.81	5.88	1.71859	-0.493312
PV2_000033	51.41	15.68	-2.19805	0.373953
PV2_000034	11.9	0	0.505865	-1.55728
PV2_000035	26.66	10.78	3.08314	0.517106
PV2_000036	62.36	13.72	0.43344	0.0371623
PV2_000037	25.23	6.86	0.283076	-0.755045
PV2_000038	6.19	3.92	-1.14417	-0.451417
PV2_000039	111.87	29.41	-1.17134	1.04832
PV2_000040	28.56	9.8	3.32808	0.0137142
PV2_000041	59.03	33.33	-1.30134	3.84713
PV2_000042	107.58	20.58	-2.03511	-0.831725
PV2_000043	16.19	7.84	-0.426209	-0.159765
PV2_000044	10.95	6.86	-1.07089	-0.168086
PV2_000045	16.66	19.6	-0.440304	2.44227
PV2_000046	77.59	26.46	-1.68683	1.30182
PV2_000047	9.04	5.88	-2.65048	-0.475541
PV2_000048	78.07	27.45	0.444968	2.08522
PV2_000049	13.33	3.92	-0.350708	-1.02085
PV2_000050	18.09	31.37	-0.204933	5.14102
PV2_000051	64.74	30.39	-0.508045	3.0797
PV2_000052	28.09	11.76	2.36579	0.386443
PV2_000053	1.9	34.31	-1.70191	10.0926
PV2_000054	21.42	9.8	-1.08754	-0.150004
PV2_000055	30.94	14.7	-1.21366	1.23737
PV2_000056	52.84	33.33	-1.00237	4.17725
PV2_000057	273.72	35.29	0.696151	-1.90456
PV2_000058	26.18	3.92	2.78254	-1.12063
PV2_000059	10	0	-0.276496	-2.0723
PV2_000060	21.9	8.82	2.09187	0.251732
PV2_000061	129.96	25.48	1.23863	1.03467
PV2_000062	94.26	25.48	-0.517474	1.44005
PV2_000063	81.88	10.78	-0.878821	-1.48819
PV2_000064	22.85	4.9	-0.302557	-1.12837
PV2_000065	69.98	22.54	0.0803822	1.96121
PV2_000066	59.5	4.9	-0.416657	-1.7265
PV2_000067	13.81	8.82	-1.64894	-0.185207
PV2_000068	197.56	36.27	-0.162308	1.62266
PV2_000069	40.94	8.82	-0.706559	-0.843775
PV2_000070	68.55	18.62	-2.42212	0.401584
PV2_000071	2.38	9.8	-2.56496	1.04305
PV2_000072	77.59	24.5	-2.02384	0.44088
PV2_000073	50.94	18.62	-1.88149	0.946163
PV2_000074	18.57	11.76	-3.06445	0.327282
PV2_000075	58.08	13.72	0.745099	-0.245057
PV2_000076	58.08	21.56	-0.668275	1.63365
PV2_000077	40.94	27.45	-0.233672	4.0846
PV2_000078	6.19	4.9	0.461806	-0.21181
PV2_000079	186.61	43.13	-0.194858	0.824387
PV2_000080	42.84	10.78	1.42065	-0.292078
PV2_000081	60.46	10.78	0.486378	-0.569042
PV2_000082	25.71	14.7	-0.456582	1.29052
PV2_000083	18.57	3.92	-1.57598	-1.27124
PV2_000084	93.78	32.35	-0.94615	2.0444
PV2_000085	15.71	11.76	-1.8214	0.557126
PV2_000086	185.65	34.31	1.55661	0.746065
PV2_000087	36.18	22.54	-2.51335	1.72124
PV2_000088	0	9.8	-3.42097	2.60205
PV2_000089	3.81	5.88	0.953661	0.644125
PV2_000090	52.84	17.64	2.28632	1.23006
PV2_000091	10.47	20.58	0.570524	3.67595
PV2_000092	0.95	7.84	0.0651057	2.16775
PV2_000093	2.86	4.9	0.0116518	0.274881
PV2_000094	65.69	17.64	0.402303	0.645133
PV2_000095	17.14	6.86	-1.15174	-0.462422
PV2_000096	125.2	21.56	-0.0295476	-0.587623
PV2_000097	78.55	27.45	-4.68046	0.858995
PV2_000098	4.28	8.82	1.68035	1.77601
PV2_000099	25.23	6.86	-0.6177	-0.644718
PV2_000100	63.79	28.43	-2.1865	2.05906
PV2_000101	4.76	0.98	-2.22828	-1.35705
PV2_000102	119.01	12.74	-1.06145	-2.41005
PV2_000103	36.18	14.7	-2.24121	0.320919
PV2_000104	19.04	4.9	0.922115	-0.835295
PV2_000105	76.64	11.76	2.28703	-0.386098
PV2_000106	18.09	15.68	-0.0973094	1.63322
PV2_000107	19.04	32.35	1.02642	6.34167
PV2_000108	6.19	7.84	-0.234749	0.476232
PV2_000109	16.19	18.62	-0.772738	2.32112
PV2_000110	2.38	1.96	2.40133	-0.420839
PV2_000111	21.9	18.62	-0.939007	1.94581
PV2_000112	83.31	21.56	0.0586283	0.374474
PV2_000113	24.75	11.76	-1.80062	0.432646
PV2_000114	25.71	17.64	2.48194	1.92706
PV2_000115	63.31	9.8	-1.9232	-0.984915
PV2_000116	6.66	4.9	-1.71031	-0.638537
PV2_000117	0.95	3.92	-3.0513	-0.511245
PV2_000118	120.91	28.43	2.544	1.85226
PV2_000119	16.66	13.72	0.159498	1.55471
PV2_000120	17.61	10.78	-1.16974	0.313618
PV2_000121	42.84	156.83	-0.0973807	34.2745
PV2_000122	4.76	107.82	-1.15512	24.426
PV2_000123	19.52	5.88	-1.32824	-0.79376
PV2_000124	5.71	6.86	-2.24607	-0.147414
PV2_000125	75.21	20.58	2.39289	1.20129
PV2_000126	57.6	339.14	-0.934317	65.987
PV2_000127	11.9	8.82	-0.174215	0.368159
PV2_000128	89.97	39.21	-1.36899	3.20219
PV2_000129	43.32	18.62	-0.635016	1.46128
PV2_000130	19.04	15.68	-1.59026	1.38755
PV2_000131	18.09	515.58	-0.416468	115.304
PV2_000132	142.81	54.89	-1.38694	5.21282
PV2_000133	84.26	23.52	0.745781	1.57694
PV2_000134	19.04	362.67	2.28673	78.5863
PV2_000135	2.86	14.7	2.32832	4.82943
PV2_000136	221.36	77.43	-1.62467	4.04587
PV2_000137	13.33	28.43	-1.53266	4.53778
PV2_000138	24.28	109.78	-0.848738	24.678
PV2_000139	16.19	6.86	-1.73499	-0.6149
PV2_000140	25.23	19.6	-0.702819	2.41532
PV2_000141	91.4	24.5	-0.717211	1.46797
PV2_000142	41.89	92.14	1.28945	19.7279
PV2_000143	29.51	20.58	1.6203	2.72641
PV2_000144	15.23	13.72	-0.430179	1.49405
PV2_000145	53.79	6.86	-1.06576	-1.45184
PV2_000146	23.33	11.76	2.88806	0.977025
PV2_000147	41.42	28.43	-0.539293	3.85373
PV2_000148	21.42	11.76	-2.73701	0.420093
PV2_000149	57.6	9.8	-0.889442	-0.94341
PV2_000150	31.42	366.59	-1.26161	90.367
PV2_000151	69.98	14.7	-1.05494	-0.0414724
PV2_000152	110.92	113.7	-0.409291	17.9743
PV2_000153	20.47	18.62	-0.0392328	2.16383
PV2_000154	10.47	59.79	0.27968	13.8813
PV2_000155	31.89	13.72	-1.54631	0.156921
PV2_000156	142.81	54.89	-3.21602	3.43574
PV2_000157	5.24	1.96	-0.498957	-1.13352
PV2_000158	38.08	17.64	-0.402711	0.838313
PV2_000159	0.95	19.6	-2.64392	4.98533
PV2_000160	68.55	30.39	1.04337	3.47034
PV2_000161	18.09	24.5	0.530956	4.21161
PV2_000162	9.04	32.35	-1.25757	5.74975
PV2_000163	35.23	9.8	0.919912	-0.225104
PV2_000164	45.22	11.76	-2.07589	-0.500978
PV2_000165	70.45	29.41	0.82861	2.612
PV2_000166	84.26	19.6	3.08195	0.667507
PV2_000167	89.02	31.37	-0.440144	2.02701
PV2_000168	85.21	17.64	-2.87443	-0.978804
PV2_000169	7.62	8.82	0.981918	0.679361
PV2_000170	19.04	8.82	1.01849	0.146778
PV2_000171	14.76	20.58	0.272155	2.6456
PV2_000172	1.43	9.8	-1.08475	2.54185
PV2_000173	7.62	5.88	-0.398114	0.0349914
PV2_000174	40.46	12.74	-0.636349	0.272884
PV2_000175	38.56	8.82	1.85908	-0.45858
PV2_000176	37.61	14.7	1.80367	1.20839
PV2_000177	21.42	4.9	1.15706	-0.813124
PV2_000178	85.69	22.54	1.64126	1.16492
PV2_000179	13.33	4.9	2.43456	-0.454105
PV2_000180	16.66	5.88	1.71252	-0.385719
PV2_000181	6.19	11.76	2.09954	1.70893
PV2_000182	1.9	5.88	-0.679155	0.675183
