ReadName	Type	RefName	DelLength	DelLeft	DelRight	ReadLength	LeftLen	RightLen	Overlap	Orientation	Strand	1stOccurrence?
M01715:133:000000000-AF5JT:1:1101:14366:20342	Deletion	68L	34	419	452	151	117	43	9	correct	reverse	1
M01715:133:000000000-AF5JT:1:1105:10007:1942	Deletion	68L	5813	293	6105	151	92	60	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1110:3018:18693	Deletion	68S	102	2501	2602	151	96	59	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2110:20646:11459	Deletion	68S	270	2799	3068	151	102	53	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1115:27936:6620	Deletion	68S	350	2729	3078	151	97	56	2	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:18062:7898	Deletion	68S	398	2696	3093	151	77	83	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1103:22226:13051	Deletion	68S	634	1962	2595	151	117	37	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1102:4141:17416	Deletion	68S	270	2799	3068	151	80	70	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1116:6089:22617	Deletion	68S	270	2799	3068	151	101	54	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1113:13883:18072	Deletion	68S	289	2753	3041	151	112	43	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2118:22029:6075	Deletion	68S	259	2808	3066	147	117	35	5	correct	reverse	1
M01715:133:000000000-AF5JT:1:2105:25998:15460	Deletion	68L	4865	929	5793	151	97	57	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1108:16369:4683	Deletion	68L	6207	95	6301	101	66	35	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2108:8392:6454	Deletion	68S	278	2798	3075	151	121	36	6	correct	forward	1
M01715:133:000000000-AF5JT:1:2109:4431:5455	Deletion	68S	469	1969	2437	151	104	52	5	correct	reverse	1
M01715:133:000000000-AF5JT:1:1109:7039:2977	Deletion	68S	112	2662	2773	151	126	36	11	correct	forward	1
M01715:133:000000000-AF5JT:1:2113:4537:18163	Deletion	68L	6293	389	6733	151	81	71	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1101:25023:13663	Deletion	68S	587	2482	3068	151	86	67	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:1105:20309:17986	Deletion	68S	270	2799	3068	151	116	39	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1109:19160:20199	Deletion	68S	412	2655	3066	151	97	57	3	correct	forward	1
M01715:133:000000000-AF5JT:1:1112:13404:17585	Deletion	68S	270	2799	3068	151	121	34	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2113:18832:16646	Deletion	68S	154	2913	3066	151	104	51	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2108:4630:13710	Deletion	68S	343	1358	1700	151	88	64	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:2103:22756:17264	Deletion	68S	81	1575	1655	151	122	32	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2112:23861:3059	Deletion	68S	262	2808	3069	109	61	50	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1108:15555:16432	Deletion	68S	414	2624	3066	151	81	73	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2119:15913:7687	Deletion	68S	412	2655	3066	151	94	60	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2113:16838:8633	Deletion	68L	4652	1530	6181	151	91	60	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1106:22813:9602	Deletion	68S	2534	454	2987	151	93	60	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1118:12184:7422	Deletion	68S	577	2320	2896	151	117	41	7	correct	reverse	1
M01715:133:000000000-AF5JT:1:1106:17677:9420	Deletion	68L	860	5721	6580	151	119	33	1	correct	forward	1
M01715:133:000000000-AF5JT:1:1117:2722:9612	Deletion	68S	102	2501	2602	151	111	44	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2103:10860:2894	Deletion	68S	80	2429	2508	151	82	69	0	correct	reverse	1
M01715:133:000000000-AF5JT:1:1112:4464:17090	Deletion	68L	336	1568	1903	151	107	46	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1111:24229:4989	Deletion	68L	6207	95	6301	109	66	43	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2110:15760:17349	Deletion	68S	247	2675	2921	151	81	75	5	correct	forward	1
M01715:133:000000000-AF5JT:1:1110:6257:11702	Deletion	68L	6296	607	6902	151	108	47	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1109:4679:9062	Deletion	68S	81	1575	1655	151	119	35	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:2105:28740:11820	Deletion	68S	1533	690	2222	151	96	60	5	correct	reverse	1
M01715:133:000000000-AF5JT:1:1101:26987:11976	Deletion	68S	111	2662	2773	109	74	46	11	correct	forward	1
M01715:133:000000000-AF5JT:1:1116:19160:10183	Deletion	68S	270	2799	3068	151	96	58	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1113:25463:6311	Deletion	68S	388	2671	3058	151	122	31	2	correct	reverse	1
M01715:133:000000000-AF5JT:1:2111:18000:2240	Deletion	68S	1061	746	1806	151	107	47	3	correct	reverse	1
M01715:133:000000000-AF5JT:1:1110:17043:18313	Deletion	68S	270	2799	3068	151	122	33	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2111:16816:11378	Deletion	68L	50	2241	2290	151	101	50	0	correct	forward	1
M01715:133:000000000-AF5JT:1:2116:21924:9024	Deletion	68L	35	418	452	109	78	40	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1104:22500:23735	Deletion	68L	35	418	452	109	88	30	9	correct	forward	1
M01715:133:000000000-AF5JT:1:2107:6788:6254	Deletion	68S	2847	231	3077	151	82	79	10	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:3579:7731	Deletion	68L	6073	750	6822	151	119	32	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1106:12693:22811	Deletion	68L	6338	527	6864	151	96	57	2	correct	forward	1
M01715:133:000000000-AF5JT:1:1106:15474:22575	Deletion	68S	270	2799	3068	151	88	66	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1116:9813:14490	Deletion	68L	6204	716	6919	151	119	32	0	correct	forward	1
M01715:133:000000000-AF5JT:1:1108:2081:11062	Deletion	68S	154	2913	3066	151	97	58	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1115:14014:13922	Deletion	68L	35	418	452	111	89	31	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1118:16245:23400	Deletion	68S	270	2799	3068	151	94	61	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2103:5184:3982	Deletion	68S	695	75	769	109	69	46	6	correct	forward	1
M01715:133:000000000-AF5JT:1:2112:7135:18556	Deletion	68S	412	2655	3066	132	72	63	3	correct	forward	1
M01715:133:000000000-AF5JT:1:2113:15527:13618	Deletion	68S	278	2799	3076	151	85	73	7	correct	forward	1
M01715:133:000000000-AF5JT:1:2109:26421:10774	Deletion	68S	270	2799	3068	151	110	45	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2103:4249:14547	Deletion	68L	5556	1035	6590	151	108	44	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:2104:24249:6748	Deletion	68S	102	2501	2602	151	74	81	4	correct	forward	1
M01715:133:000000000-AF5JT:1:1116:12396:15587	Deletion	68S	270	2799	3068	151	120	35	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1106:23569:6958	Deletion	68S	270	2799	3068	142	89	57	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:1104:9340:8828	Deletion	68L	35	418	452	109	81	37	9	correct	forward	1
M01715:133:000000000-AF5JT:1:1112:25144:10752	Deletion	68L	46	5058	5103	151	104	54	7	correct	reverse	1
M01715:133:000000000-AF5JT:1:1104:12370:15239	Deletion	68S	2219	201	2419	148	103	49	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2111:18240:10291	Deletion	68S	270	2799	3068	151	96	59	4	correct	reverse	1
M01715:133:000000000-AF5JT:1:2119:12143:19824	Deletion	68S	270	2799	3068	151	92	63	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2107:5048:8312	Deletion	68S	270	2799	3068	151	93	61	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2108:20123:8408	Deletion	68S	81	1575	1655	151	119	35	3	correct	forward	0
M01715:133:000000000-AF5JT:1:1108:24545:18095	Deletion	68S	270	2799	3068	151	107	48	4	correct	forward	1
M01715:133:000000000-AF5JT:1:2117:8779:7194	Deletion	68S	373	2704	3108	151	109	43	1	correct	reverse	1
M01715:133:000000000-AF5JT:1:2112:11084:15629	Deletion	68L	222	329	550	151	91	61	1	correct	reverse	1
