tip	date	distance	residual
LIBR10082_2014-08-26_LB4_LBR	2014.6493269450148	3.756276499999999E-4	9.012028126349596E-5
EM080261_2014-07-12_LB4_LBR	2014.5261236595938	2.1137154999999996E-4	-4.464680949679023E-5
EM074349_2014-07-22_LB4_LBR	2014.5535021674652	2.113770499999999E-4	-5.119442266117731E-5
EM078709_2014-12-14_LB4_GUI	2014.9506046087156	5.284283499999995E-4	1.7080943181696593E-4
EM078697_2014-12-14_LB4_GUI	2014.9506046087156	5.283683499999997E-4	1.7074943181696607E-4
EM074684_2014-08-14_LB4_GUI	2014.6164727355692	5.813026499999997E-4	3.0365901706074904E-4
EM076770_2014-11-08_LB4_GUI	2014.8520419803788	6.890296499999996E-4	3.5500193920878147E-4
EM076769_2014-11-08_LB4_GUI	2014.8520419803788	4.2273324999999966E-4	8.870553920878148E-5
EM076948_2014-11-13_LB4_GUI	2014.8657312343144	4.7559154999999957E-4	1.3828728262661565E-4
EM076949_2014-11-13_LB4_GUI	2014.8657312343144	4.2272014999999974E-4	8.541588262661582E-5
EM004580_2015-01-27_LB4_GUI	2015.0710700433492	2.641914499999998E-4	-1.2226116610631439E-4
EM004563_2015-01-25_LB4_GUI	2015.065594341775	3.170792499999997E-4	-6.806274347350371E-5
EM004555_2015-01-22_LB4_GUI	2015.0573807894136	3.170842499999997E-4	-6.609180952414878E-5
EM004503_2015-01-15_LB4_GUI	2015.0382158339037	2.6419764999999977E-4	-1.1439123030906114E-4
EM000968_2014-10-01_LB4_GUI	2014.7478895733516	2.642321499999997E-4	-4.486642612837517E-5
EM078555_2014-12-01_LB4_GUI	2014.9150125484828	2.1134834999999975E-4	-1.377515210693474E-4
EM004192_2014-12-22_LB4_GUI	2014.9725074150126	2.114394499999998E-4	-1.514219587145545E-4
EM000921_2014-09-29_LB4_GUI	2014.7424138717772	2.642187499999999E-4	-4.356920349545316E-5
EM074350_2014-07-22_LB4_LBR	2014.5535021674652	2.114855499999998E-4	-5.108592266117739E-5
EM074351_2014-07-22_LB4_LBR	2014.5535021674652	1.0568464999999998E-4	-1.568868226611772E-4
